race_id,EX_payout,runner_program_number_pp,x8is_exacta,official_finish_position,prob_x8runner_HDWPSRRating_norm_par
BEL_20160703_3,31.25,6,0.0,5.0,0.031068921657431373
BEL_20160703_3,31.25,1A,0.0,6.0,0.008216278586636466
BEL_20160703_3,31.25,5,0.0,7.0,0.004519171246072092
BEL_20160703_4,10.8,6,1.0,1.0,0.26365033730078585
BEL_20160703_4,10.8,5,1.0,2.0,0.26365033730078585
BEL_20160703_4,10.8,4,0.0,3.0,0.38890315314438617
BEL_20160703_4,10.8,1,0.0,4.0,0.03057889300569484
BEL_20160703_4,10.8,3,0.0,5.0,0.020282948091029363
BEL_20160703_4,10.8,7,0.0,6.0,0.0023554381516232305
BEL_20160703_4,10.8,2,0.0,7.0,0.03057889300569484
BEL_20160703_5,9.9,5,1.0,1.0,0.2708395279909788
BEL_20160703_5,9.9,4,1.0,2.0,0.06352921874088042
BEL_20160703_5,9.9,2,0.0,3.0,0.09491417675300116
BEL_20160703_5,9.9,3,0.0,4.0,0.3666930425697902
BEL_20160703_5,9.9,6,0.0,5.0,0.1956553938344948
BEL_20160703_5,9.9,7,0.0,6.0,0.0029759290898121486
BEL_20160703_5,9.9,1,0.0,7.0,0.005392711021042389
BEL_20160703_6,38.75,5,1.0,1.0,0.005205793941947006
BEL_20160703_6,38.75,6,1.0,2.0,0.6156913041683145
BEL_20160703_6,38.75,2,0.0,3.0,0.017495014264179154
BEL_20160703_6,38.75,4,0.0,4.0,0.12207347906884945
BEL_20160703_6,38.75,1,0.0,5.0,0.15976109718335518
BEL_20160703_6,38.75,8,0.0,6.0,0.03575173008047409
BEL_20160703_6,38.75,9,0.0,7.0,0.0012924386733292148
BEL_20160703_6,38.75,3,,,0.025234128355372466
BEL_20160703_6,38.75,7,,,0.017495014264179154
BEL_20160703_7,5.4,3,1.0,1.0,0.25203213288911697
BEL_20160703_7,5.4,2,1.0,2.0,0.4371675173874456
BEL_20160703_7,5.4,5,0.0,3.0,0.0031395437599566946
BEL_20160703_7,5.4,10,0.0,4.0,0.009109033636466179
BEL_20160703_7,5.4,4,0.0,5.0,0.18606268185817418
BEL_20160703_7,5.4,6,0.0,6.0,0.03617988509721949
BEL_20160703_7,5.4,8,0.0,7.0,0.0444600147173966
BEL_20160703_7,5.4,7,0.0,8.0,0.007059169363977621
BEL_20160703_7,5.4,9,0.0,9.0,0.023488571022861938
BEL_20160703_7,5.4,1,,,0.0013014502673848152
BEL_20160703_8,14.3,3,1.0,1.0,0.0425363625625972
BEL_20160703_8,14.3,8,1.0,2.0,0.2582237053894921
BEL_20160703_8,14.3,10,0.0,3.0,0.011691650908737139
BEL_20160703_8,14.3,12,0.0,4.0,0.026080676489386834
BEL_20160703_8,14.3,2,0.0,5.0,0.0065262588219227625
BEL_20160703_8,14.3,5,0.0,6.0,0.41629938482734463
BEL_20160703_8,14.3,9,0.0,7.0,0.002522671673360487
BEL_20160703_8,14.3,6,0.0,8.0,0.10223716219664924
BEL_20160703_8,14.3,11,0.0,9.0,0.0012701599666690591
BEL_20160703_8,14.3,4,0.0,10.0,0.0012701599666690591
BEL_20160703_8,14.3,1,,,0.12481554837524886
BEL_20160703_8,14.3,7,,,0.0065262588219227625
BEL_20160703_9,12.5,6,1.0,1.0,0.2802837271065254
BEL_20160703_9,12.5,2,1.0,2.0,0.15355397725639452
BEL_20160703_9,12.5,5,0.0,3.0,0.15355397725639452
BEL_20160703_9,12.5,3,0.0,4.0,0.0013744971951488358
BEL_20160703_9,12.5,7,0.0,5.0,0.07749627738827869
BEL_20160703_9,12.5,1,0.0,6.0,0.011735271734797397
BEL_20160703_9,12.5,4,0.0,7.0,0.3220022720624607
BTP_20160703_1,12.3,1,1.0,1.0,0.1256644170848263
BTP_20160703_1,12.3,2,1.0,2.0,0.1256644170848263
BTP_20160703_1,12.3,7,0.0,3.0,0.27921246381719705
BTP_20160703_1,12.3,5,0.0,4.0,0.3541864253180722
BTP_20160703_1,12.3,4,0.0,5.0,0.03452192208877342
BTP_20160703_1,12.3,3,0.0,6.0,0.07998152806777432
BTP_20160703_1,12.3,6,0.0,7.0,0.0007688265385304075
BTP_20160703_2,29.0,4,1.0,1.0,0.0081875809914759
BTP_20160703_2,29.0,1,1.0,2.0,0.09499967320602451
BTP_20160703_2,29.0,3,0.0,3.0,0.0081875809914759
BTP_20160703_2,29.0,5,0.0,4.0,0.09499967320602451
BTP_20160703_2,29.0,2,0.0,5.0,0.09499967320602451
BTP_20160703_2,29.0,6,0.0,6.0,0.010890190065332532
BTP_20160703_2,29.0,1A,,,0.6877356283336421
